instance_name	LB	OPT
class1_40_10_3	11	13
class1_40_10_4	11	13
class1_40_10_5	11	13
class1_40_10_6	11	13
class1_40_10_7	12	13
class1_40_10_8	11	12
class1_40_10_9	12	13
class1_60_10_0	17	19
class1_60_10_1	17	19
class1_60_10_2	17	19
class1_60_10_3	17	18
class1_60_10_4	16	19
class1_60_10_5	16	18
class1_60_10_6	17	18
class1_60_10_7	16	18
class1_60_10_8	16	18
class1_60_10_9	17	18
class1_120_10_0	33	36
class1_120_10_1	33	35
class1_120_10_2	31	34
class1_120_10_3	32	34
class1_120_10_4	32	35
class1_120_10_5	31	35
class1_120_10_6	34	36
class1_120_10_7	32	34
class1_120_10_8	33	35
class1_120_10_9	33	37
class1_250_10_0	64	-1
class1_250_10_1	65	-1
class1_250_10_2	66	-1
class1_250_10_3	64	-1
class1_250_10_4	65	-1
class1_250_10_5	64	-1
class1_250_10_6	65	-1
class1_250_10_7	66	-1
class1_250_10_8	64	-1
class1_250_10_9	65	-1
class1_500_10_0	130	-1
class1_500_10_1	128	-1
class1_500_10_2	129	-1
class1_500_10_3	129	-1
class1_500_10_4	131	-1
class1_500_10_5	130	-1
class1_500_10_6	127	-1
class1_500_10_7	128	-1
class1_500_10_8	127	-1
class1_500_10_9	130	-1
class2_20_3_0	13	13
class2_20_3_1	18	18
class2_20_3_2	17	18
class2_20_3_3	13	13
class2_20_3_4	13	13
class2_20_3_5	16	16
class2_20_3_6	16	16
class2_20_3_7	18	18
class2_20_3_8	12	13
class2_20_3_9	15	15
class2_40_3_0	30	31
class2_40_3_1	31	32
class2_40_3_2	28	28
class2_40_3_3	27	27
class2_40_3_4	28	28
class2_40_3_5	32	32
class2_40_3_6	29	29
class2_40_3_7	33	33
class2_40_3_8	29	30
class2_40_3_9	34	34
class2_60_3_0	36	38
class2_60_3_1	45	45
class2_60_3_2	48	48
class2_60_3_3	46	46
class2_60_3_4	41	41
class2_60_3_5	50	50
class2_60_3_6	46	46
class2_60_3_7	41	41
class2_60_3_8	41	42
class2_60_3_9	38	39
class2_120_3_0	86	86
class2_120_3_1	78	79
class2_120_3_2	81	81
class2_120_3_3	79	79
class2_120_3_4	78	78
class2_120_3_5	86	86
class2_120_3_6	78	78
class2_120_3_7	83	83
class2_120_3_8	76	77
class2_120_3_9	86	86
class2_250_3_0	166	167
class2_250_3_1	167	167
class2_250_3_2	164	165
class2_250_3_3	168	169
class2_250_3_4	156	157
class2_250_3_5	161	161
class2_250_3_6	159	160
class2_250_3_7	155	157
class2_250_3_8	147	152
class2_250_3_9	153	155
class2_500_3_0	298	303
class2_500_3_1	303	305
class2_500_3_2	317	318
class2_500_3_3	317	319
class2_500_3_4	300	304
class2_500_3_5	307	310
class2_500_3_6	289	293
class2_500_3_7	293	293
class2_500_3_8	293	296
class2_500_3_9	280	292
class2_20_5_0	19	19
class2_20_5_1	18	18
class2_20_5_2	19	19
class2_20_5_3	18	18
class2_20_5_4	18	18
class2_20_5_5	20	20
class2_20_5_6	20	20
class2_20_5_7	19	19
class2_20_5_8	16	16
class2_20_5_9	18	18
class2_40_5_0	35	35
class2_40_5_1	37	37
class2_40_5_2	35	35
class2_40_5_3	34	34
class2_40_5_4	33	33
class2_40_5_5	34	34
class2_40_5_6	36	36
class2_40_5_7	34	34
class2_40_5_8	37	37
class2_40_5_9	35	35
class2_60_5_0	48	48
class2_60_5_1	51	51
class2_60_5_2	48	48
class2_60_5_3	50	51
class2_60_5_4	52	52
class2_60_5_5	46	47
class2_60_5_6	52	52
class2_60_5_7	52	52
class2_60_5_8	50	50
class2_60_5_9	49	49
class2_120_5_0	102	103
class2_120_5_1	101	101
class2_120_5_2	96	96
class2_120_5_3	91	91
class2_120_5_4	88	88
class2_120_5_5	99	99
class2_120_5_6	91	92
class2_120_5_7	101	101
class2_120_5_8	95	95
class2_120_5_9	95	95
class2_250_5_0	183	184
class2_250_5_1	196	196
class2_250_5_2	186	186
class2_250_5_3	187	187
class2_250_5_4	189	189
class2_250_5_5	185	185
class2_250_5_6	190	190
class2_250_5_7	190	192
class2_250_5_8	192	192
class2_250_5_9	192	192
class2_500_5_0	381	381
class2_500_5_1	385	385
class2_500_5_2	364	364
class2_500_5_3	376	376
class2_500_5_4	370	370
class2_500_5_5	368	368
class2_500_5_6	370	370
class2_500_5_7	364	364
class2_500_5_8	373	373
class2_500_5_9	381	381
class2_20_10_0	20	20
class2_20_10_1	20	20
class2_20_10_2	20	20
class2_20_10_3	19	19
class2_20_10_4	20	20
class2_20_10_5	20	20
class2_20_10_6	20	20
class2_20_10_7	20	20
class2_20_10_8	19	19
class2_20_10_9	20	20
class2_40_10_0	39	39
class2_40_10_1	39	39
class2_40_10_2	39	39
class2_40_10_3	40	40
class2_40_10_4	40	40
class2_40_10_5	40	40
class2_40_10_6	40	40
class2_40_10_7	40	40
class2_40_10_8	39	39
class2_40_10_9	39	39
class2_60_10_0	60	60
class2_60_10_1	58	58
class2_60_10_2	59	59
class2_60_10_3	56	56
class2_60_10_4	59	59
class2_60_10_5	60	60
class2_60_10_6	59	59
class2_60_10_7	59	59
class2_60_10_8	58	58
class2_60_10_9	59	59
class2_120_10_0	117	117
class2_120_10_1	117	117
class2_120_10_2	118	118
class2_120_10_3	115	115
class2_120_10_4	117	117
class2_120_10_5	118	118
class2_120_10_6	115	115
class2_120_10_7	117	117
class2_120_10_8	118	118
class2_120_10_9	117	117
class2_250_10_0	242	242
class2_250_10_1	243	243
class2_250_10_2	239	239
class2_250_10_3	238	238
class2_250_10_4	238	238
class2_250_10_5	241	241
class2_250_10_6	235	235
class2_250_10_7	242	242
class2_250_10_8	243	243
class2_250_10_9	240	240
class2_500_10_0	481	481
class2_500_10_1	476	476
class2_500_10_2	467	467
class2_500_10_3	474	474
class2_500_10_4	484	484
class2_500_10_5	476	476
class2_500_10_6	469	469
class2_500_10_7	469	469
class2_500_10_8	475	475
class2_500_10_9	480	480
class3_20_3_0	15	15
class3_20_3_1	12	12
class3_20_3_2	16	16
class3_20_3_3	15	15
class3_20_3_4	14	14
class3_20_3_5	13	13
class3_20_3_6	13	13
class3_20_3_7	14	14
class3_20_3_8	14	14
class3_20_3_9	13	14
class3_40_3_0	30	30
class3_40_3_1	31	31
class3_40_3_2	29	29
class3_40_3_3	33	33
class3_40_3_4	28	28
class3_40_3_5	28	28
class3_40_3_6	28	29
class3_40_3_7	27	27
class3_40_3_8	31	31
class3_40_3_9	26	26
class3_60_3_0	37	37
class3_60_3_1	41	41
class3_60_3_2	41	42
class3_60_3_3	44	44
class3_60_3_4	36	36
class3_60_3_5	40	40
class3_60_3_6	46	46
class3_60_3_7	39	39
class3_60_3_8	42	42
class3_60_3_9	44	44
class3_120_3_0	80	80
class3_120_3_1	82	83
class3_120_3_2	84	84
class3_120_3_3	73	74
class3_120_3_4	77	78
class3_120_3_5	75	77
class3_120_3_6	82	82
class3_120_3_7	79	79
class3_120_3_8	81	81
class3_120_3_9	81	81
class3_250_3_0	162	164
class3_250_3_1	158	160
class3_250_3_2	154	161
class3_250_3_3	158	158
class3_250_3_4	155	155
class3_250_3_5	154	155
class3_250_3_6	154	154
class3_250_3_7	161	161
class3_250_3_8	158	158
class3_250_3_9	171	171
class3_500_3_0	301	302
class3_500_3_1	316	316
class3_500_3_2	316	316
class3_500_3_3	298	303
class3_500_3_4	307	309
class3_500_3_5	303	304
class3_500_3_6	311	312
class3_500_3_7	292	295
class3_500_3_8	307	309
class3_500_3_9	308	308
class3_20_5_0	16	16
class3_20_5_1	15	15
class3_20_5_2	18	18
class3_20_5_3	17	17
class3_20_5_4	16	16
class3_20_5_5	18	18
class3_20_5_6	18	18
class3_20_5_7	19	19
class3_20_5_8	18	18
class3_20_5_9	17	17
class3_40_5_0	38	38
class3_40_5_1	37	37
class3_40_5_2	38	38
class3_40_5_3	31	31
class3_40_5_4	35	35
class3_40_5_5	34	34
class3_40_5_6	34	34
class3_40_5_7	35	35
class3_40_5_8	34	34
class3_40_5_9	37	37
class3_60_5_0	48	48
class3_60_5_1	42	43
class3_60_5_2	46	46
class3_60_5_3	47	47
class3_60_5_4	51	51
class3_60_5_5	52	52
class3_60_5_6	53	53
class3_60_5_7	52	52
class3_60_5_8	52	52
class3_60_5_9	52	52
class3_120_5_0	99	99
class3_120_5_1	99	99
class3_120_5_2	98	98
class3_120_5_3	97	97
class3_120_5_4	96	96
class3_120_5_5	97	97
class3_120_5_6	105	105
class3_120_5_7	100	100
class3_120_5_8	98	98
class3_120_5_9	88	88
class3_250_5_0	189	189
class3_250_5_1	196	196
class3_250_5_2	191	193
class3_250_5_3	199	199
class3_250_5_4	190	190
class3_250_5_5	195	195
class3_250_5_6	193	194
class3_250_5_7	204	204
class3_250_5_8	194	194
class3_250_5_9	186	186
class3_500_5_0	377	377
class3_500_5_1	377	377
class3_500_5_2	372	374
class3_500_5_3	384	384
class3_500_5_4	361	362
class3_500_5_5	367	367
class3_500_5_6	374	374
class3_500_5_7	383	383
class3_500_5_8	381	381
class3_500_5_9	373	373
class3_20_10_0	20	20
class3_20_10_1	20	20
class3_20_10_2	20	20
class3_20_10_3	19	19
class3_20_10_4	20	20
class3_20_10_5	20	20
class3_20_10_6	20	20
class3_20_10_7	20	20
class3_20_10_8	19	19
class3_20_10_9	20	20
class3_40_10_0	38	38
class3_40_10_1	40	40
class3_40_10_2	40	40
class3_40_10_3	40	40
class3_40_10_4	40	40
class3_40_10_5	39	39
class3_40_10_6	39	39
class3_40_10_7	40	40
class3_40_10_8	40	40
class3_40_10_9	39	39
class3_60_10_0	57	57
class3_60_10_1	59	59
class3_60_10_2	60	60
class3_60_10_3	60	60
class3_60_10_4	59	59
class3_60_10_5	59	59
class3_60_10_6	60	60
class3_60_10_7	60	60
class3_60_10_8	59	59
class3_60_10_9	59	59
class3_120_10_0	119	119
class3_120_10_1	118	118
class3_120_10_2	117	117
class3_120_10_3	117	117
class3_120_10_4	120	120
class3_120_10_5	116	116
class3_120_10_6	118	118
class3_120_10_7	115	115
class3_120_10_8	114	114
class3_120_10_9	118	118
class3_250_10_0	241	241
class3_250_10_1	243	243
class3_250_10_2	241	241
class3_250_10_3	240	240
class3_250_10_4	240	240
class3_250_10_5	237	237
class3_250_10_6	241	241
class3_250_10_7	241	241
class3_250_10_8	245	245
class3_250_10_9	237	237
class3_500_10_0	473	473
class3_500_10_1	469	469
class3_500_10_2	481	481
class3_500_10_3	469	469
class3_500_10_4	471	471
class3_500_10_5	484	484
class3_500_10_6	465	465
class3_500_10_7	477	477
class3_500_10_8	478	478
class3_500_10_9	475	475
class4_20_3_0	3	-1
class4_20_3_1	3	-1
class4_20_3_2	3	-1
class4_20_3_3	3	-1
class4_20_3_4	3	-1
class4_20_3_5	3	-1
class4_20_3_6	3	-1
class4_20_3_7	3	-1
class4_20_3_8	3	-1
class4_20_3_9	3	-1
class4_40_3_0	6	-1
class4_40_3_1	6	-1
class4_40_3_2	6	-1
class4_40_3_3	6	-1
class4_40_3_4	6	-1
class4_40_3_5	6	-1
class4_40_3_6	6	-1
class4_40_3_7	6	-1
class4_40_3_8	5	-1
class4_40_3_9	6	-1
class4_60_3_0	8	-1
class4_60_3_1	8	-1
class4_60_3_2	8	-1
class4_60_3_3	8	-1
class4_60_3_4	8	-1
class4_60_3_5	9	-1
class4_60_3_6	8	-1
class4_60_3_7	9	-1
class4_60_3_8	9	-1
class4_60_3_9	8	-1
class4_120_3_0	16	-1
class4_120_3_1	16	-1
class4_120_3_2	16	-1
class4_120_3_3	16	-1
class4_120_3_4	15	-1
class4_120_3_5	16	-1
class4_120_3_6	16	-1
class4_120_3_7	16	-1
class4_120_3_8	16	-1
class4_120_3_9	16	-1
class4_250_3_0	33	-1
class4_250_3_1	33	-1
class4_250_3_2	32	-1
class4_250_3_3	32	-1
class4_250_3_4	33	-1
class4_250_3_5	33	-1
class4_250_3_6	32	-1
class4_250_3_7	32	-1
class4_250_3_8	32	-1
class4_250_3_9	33	-1
class4_500_3_0	63	-1
class4_500_3_1	63	-1
class4_500_3_2	64	-1
class4_500_3_3	64	-1
class4_500_3_4	64	-1
class4_500_3_5	64	-1
class4_500_3_6	63	-1
class4_500_3_7	63	-1
class4_500_3_8	63	-1
class4_500_3_9	63	-1
class4_20_5_0	3	-1
class4_20_5_1	3	-1
class4_20_5_2	3	-1
class4_20_5_3	3	-1
class4_20_5_4	3	-1
class4_20_5_5	3	-1
class4_20_5_6	3	-1
class4_20_5_7	3	-1
class4_20_5_8	3	-1
class4_20_5_9	3	-1
class4_40_5_0	6	-1
class4_40_5_1	6	-1
class4_40_5_2	6	-1
class4_40_5_3	6	-1
class4_40_5_4	6	-1
class4_40_5_5	6	-1
class4_40_5_6	6	-1
class4_40_5_7	6	-1
class4_40_5_8	6	-1
class4_40_5_9	6	-1
class4_60_5_0	8	-1
class4_60_5_1	8	-1
class4_60_5_2	8	-1
class4_60_5_3	9	-1
class4_60_5_4	8	-1
class4_60_5_5	8	-1
class4_60_5_6	8	-1
class4_60_5_7	9	-1
class4_60_5_8	8	-1
class4_60_5_9	8	-1
class4_120_5_0	16	-1
class4_120_5_1	16	-1
class4_120_5_2	16	-1
class4_120_5_3	16	-1
class4_120_5_4	16	-1
class4_120_5_5	16	-1
class4_120_5_6	16	-1
class4_120_5_7	17	-1
class4_120_5_8	16	-1
class4_120_5_9	16	-1
class4_250_5_0	33	-1
class4_250_5_1	33	-1
class4_250_5_2	33	-1
class4_250_5_3	32	-1
class4_250_5_4	32	-1
class4_250_5_5	33	-1
class4_250_5_6	33	-1
class4_250_5_7	33	-1
class4_250_5_8	32	-1
class4_250_5_9	32	-1
class4_500_5_0	63	-1
class4_500_5_1	64	-1
class4_500_5_2	65	-1
class4_500_5_3	64	-1
class4_500_5_4	64	-1
class4_500_5_5	63	-1
class4_500_5_6	64	-1
class4_500_5_7	65	-1
class4_500_5_8	64	-1
class4_500_5_9	65	-1
class4_20_10_0	3	-1
class4_20_10_1	3	-1
class4_20_10_2	3	-1
class4_20_10_3	3	-1
class4_20_10_4	3	-1
class4_20_10_5	3	-1
class4_20_10_6	3	-1
class4_20_10_7	3	-1
class4_20_10_8	4	-1
class4_20_10_9	3	-1
class4_40_10_0	6	-1
class4_40_10_1	6	-1
class4_40_10_2	6	-1
class4_40_10_3	6	-1
class4_40_10_4	6	-1
class4_40_10_5	6	-1
class4_40_10_6	6	-1
class4_40_10_7	6	-1
class4_40_10_8	6	-1
class4_40_10_9	6	-1
class4_60_10_0	8	-1
class4_60_10_1	9	-1
class4_60_10_2	9	-1
class4_60_10_3	9	-1
class4_60_10_4	8	-1
class4_60_10_5	8	-1
class4_60_10_6	8	-1
class4_60_10_7	9	-1
class4_60_10_8	9	-1
class4_60_10_9	8	-1
class4_120_10_0	16	-1
class4_120_10_1	16	-1
class4_120_10_2	17	-1
class4_120_10_3	16	-1
class4_120_10_4	17	-1
class4_120_10_5	16	-1
class4_120_10_6	16	-1
class4_120_10_7	16	-1
class4_120_10_8	16	-1
class4_120_10_9	16	-1
class4_250_10_0	34	-1
class4_250_10_1	33	-1
class4_250_10_2	33	-1
class4_250_10_3	32	-1
class4_250_10_4	33	-1
class4_250_10_5	33	-1
class4_250_10_6	33	-1
class4_250_10_7	33	-1
class4_250_10_8	33	-1
class4_250_10_9	33	-1
class4_500_10_0	65	-1
class4_500_10_1	64	-1
class4_500_10_2	65	-1
class4_500_10_3	66	-1
class4_500_10_4	64	-1
class4_500_10_5	65	-1
class4_500_10_6	64	-1
class4_500_10_7	65	-1
class4_500_10_8	64	-1
class4_500_10_9	64	-1
class5_20_3_0	2	-1
class5_20_3_1	2	-1
class5_20_3_2	2	-1
class5_20_3_3	2	-1
class5_20_3_4	2	-1
class5_20_3_5	2	-1
class5_20_3_6	2	-1
class5_20_3_7	2	-1
class5_20_3_8	2	-1
class5_20_3_9	2	-1
class5_40_3_0	3	-1
class5_40_3_1	3	-1
class5_40_3_2	3	-1
class5_40_3_3	3	-1
class5_40_3_4	3	-1
class5_40_3_5	3	-1
class5_40_3_6	3	-1
class5_40_3_7	3	-1
class5_40_3_8	3	-1
class5_40_3_9	3	-1
class5_60_3_0	5	-1
class5_60_3_1	4	-1
class5_60_3_2	4	-1
class5_60_3_3	5	-1
class5_60_3_4	5	-1
class5_60_3_5	5	-1
class5_60_3_6	4	-1
class5_60_3_7	4	-1
class5_60_3_8	4	-1
class5_60_3_9	4	-1
class5_120_3_0	8	-1
class5_120_3_1	8	-1
class5_120_3_2	8	-1
class5_120_3_3	8	-1
class5_120_3_4	8	-1
class5_120_3_5	8	-1
class5_120_3_6	8	-1
class5_120_3_7	8	-1
class5_120_3_8	8	-1
class5_120_3_9	9	-1
class5_250_3_0	17	-1
class5_250_3_1	16	-1
class5_250_3_2	16	-1
class5_250_3_3	17	-1
class5_250_3_4	16	-1
class5_250_3_5	16	-1
class5_250_3_6	16	-1
class5_250_3_7	16	-1
class5_250_3_8	16	-1
class5_250_3_9	16	-1
class5_500_3_0	32	-1
class5_500_3_1	32	-1
class5_500_3_2	32	-1
class5_500_3_3	33	-1
class5_500_3_4	33	-1
class5_500_3_5	32	-1
class5_500_3_6	32	-1
class5_500_3_7	32	-1
class5_500_3_8	32	-1
class5_500_3_9	33	-1
class5_20_5_0	2	-1
class5_20_5_1	2	-1
class5_20_5_2	2	-1
class5_20_5_3	2	-1
class5_20_5_4	2	-1
class5_20_5_5	2	-1
class5_20_5_6	2	-1
class5_20_5_7	2	-1
class5_20_5_8	2	-1
class5_20_5_9	2	-1
class5_40_5_0	3	-1
class5_40_5_1	3	-1
class5_40_5_2	3	-1
class5_40_5_3	3	-1
class5_40_5_4	3	-1
class5_40_5_5	3	-1
class5_40_5_6	3	-1
class5_40_5_7	3	-1
class5_40_5_8	3	-1
class5_40_5_9	3	-1
class5_60_5_0	4	-1
class5_60_5_1	4	-1
class5_60_5_2	4	-1
class5_60_5_3	5	-1
class5_60_5_4	4	-1
class5_60_5_5	4	-1
class5_60_5_6	4	-1
class5_60_5_7	4	-1
class5_60_5_8	5	-1
class5_60_5_9	4	-1
class5_120_5_0	8	-1
class5_120_5_1	8	-1
class5_120_5_2	8	-1
class5_120_5_3	8	-1
class5_120_5_4	8	-1
class5_120_5_5	8	-1
class5_120_5_6	8	-1
class5_120_5_7	8	-1
class5_120_5_8	8	-1
class5_120_5_9	8	-1
class5_250_5_0	16	-1
class5_250_5_1	17	-1
class5_250_5_2	17	-1
class5_250_5_3	17	-1
class5_250_5_4	17	-1
class5_250_5_5	16	-1
class5_250_5_6	16	-1
class5_250_5_7	16	-1
class5_250_5_8	16	-1
class5_250_5_9	16	-1
class5_500_5_0	32	-1
class5_500_5_1	32	-1
class5_500_5_2	32	-1
class5_500_5_3	33	-1
class5_500_5_4	32	-1
class5_500_5_5	32	-1
class5_500_5_6	32	-1
class5_500_5_7	32	-1
class5_500_5_8	32	-1
class5_500_5_9	32	-1
class5_20_10_0	2	-1
class5_20_10_1	2	-1
class5_20_10_2	2	-1
class5_20_10_3	2	-1
class5_20_10_4	2	-1
class5_20_10_5	2	-1
class5_20_10_6	2	-1
class5_20_10_7	2	-1
class5_20_10_8	2	-1
class5_20_10_9	2	-1
class5_40_10_0	3	-1
class5_40_10_1	3	-1
class5_40_10_2	3	-1
class5_40_10_3	3	-1
class5_40_10_4	3	-1
class5_40_10_5	3	-1
class5_40_10_6	3	-1
class5_40_10_7	3	-1
class5_40_10_8	3	-1
class5_40_10_9	3	-1
class5_60_10_0	5	-1
class5_60_10_1	5	-1
class5_60_10_2	4	-1
class5_60_10_3	4	-1
class5_60_10_4	4	-1
class5_60_10_5	5	-1
class5_60_10_6	4	-1
class5_60_10_7	5	-1
class5_60_10_8	5	-1
class5_60_10_9	4	-1
class5_120_10_0	8	-1
class5_120_10_1	8	-1
class5_120_10_2	8	-1
class5_120_10_3	8	-1
class5_120_10_4	8	-1
class5_120_10_5	8	-1
class5_120_10_6	8	-1
class5_120_10_7	8	-1
class5_120_10_8	8	-1
class5_120_10_9	9	-1
class5_250_10_0	17	-1
class5_250_10_1	16	-1
class5_250_10_2	17	-1
class5_250_10_3	17	-1
class5_250_10_4	17	-1
class5_250_10_5	17	-1
class5_250_10_6	16	-1
class5_250_10_7	17	-1
class5_250_10_8	17	-1
class5_250_10_9	17	-1
class5_500_10_0	32	-1
class5_500_10_1	32	-1
class5_500_10_2	33	-1
class5_500_10_3	32	-1
class5_500_10_4	32	-1
class5_500_10_5	33	-1
class5_500_10_6	32	-1
class5_500_10_7	32	-1
class5_500_10_8	32	-1
class5_500_10_9	33	-1
class6_20_3_0	8	9
class6_20_3_1	9	10
class6_20_3_2	9	10
class6_20_3_3	9	10
class6_20_3_4	11	11
class6_20_3_5	9	9
class6_20_3_6	13	13
class6_20_3_7	9	10
class6_20_3_8	10	10
class6_20_3_9	13	13
class6_40_3_0	18	19
class6_40_3_1	17	18
class6_40_3_2	17	18
class6_40_3_3	17	18
class6_40_3_4	19	20
class6_40_3_5	17	18
class6_40_3_6	17	19
class6_40_3_7	18	20
class6_40_3_8	17	20
class6_40_3_9	19	19
class6_60_3_0	25	27
class6_60_3_1	26	27
class6_60_3_2	24	26
class6_60_3_3	25	26
class6_60_3_4	26	28
class6_60_3_5	26	28
class6_60_3_6	26	28
class6_60_3_7	30	30
class6_60_3_8	24	26
class6_60_3_9	25	27
class6_120_3_0	50	51
class6_120_3_1	49	51
class6_120_3_2	49	51
class6_120_3_3	48	51
class6_120_3_4	49	51
class6_120_3_5	52	55
class6_120_3_6	50	52
class6_120_3_7	49	52
class6_120_3_8	49	52
class6_120_3_9	50	54
class6_250_3_0	105	109
class6_250_3_1	103	106
class6_250_3_2	100	104
class6_250_3_3	102	105
class6_250_3_4	101	104
class6_250_3_5	104	110
class6_250_3_6	104	107
class6_250_3_7	102	106
class6_250_3_8	101	105
class6_250_3_9	101	106
class6_500_3_0	202	210
class6_500_3_1	206	213
class6_500_3_2	202	210
class6_500_3_3	201	205
class6_500_3_4	203	208
class6_500_3_5	206	211
class6_500_3_6	200	206
class6_500_3_7	206	213
class6_500_3_8	199	205
class6_500_3_9	207	214
class6_20_5_0	11	11
class6_20_5_1	9	11
class6_20_5_2	12	12
class6_20_5_3	13	13
class6_20_5_4	12	12
class6_20_5_5	14	14
class6_20_5_6	9	10
class6_20_5_7	10	10
class6_20_5_8	9	10
class6_20_5_9	10	10
class6_40_5_0	17	19
class6_40_5_1	18	20
class6_40_5_2	17	20
class6_40_5_3	18	20
class6_40_5_4	20	21
class6_40_5_5	18	19
class6_40_5_6	20	20
class6_40_5_7	17	20
class6_40_5_8	18	21
class6_40_5_9	22	22
class6_60_5_0	25	29
class6_60_5_1	27	30
class6_60_5_2	25	29
class6_60_5_3	27	29
class6_60_5_4	30	30
class6_60_5_5	27	30
class6_60_5_6	26	29
class6_60_5_7	25	30
class6_60_5_8	30	30
class6_60_5_9	26	30
class6_120_5_0	50	56
class6_120_5_1	49	54
class6_120_5_2	49	55
class6_120_5_3	52	57
class6_120_5_4	51	57
class6_120_5_5	49	56
class6_120_5_6	51	57
class6_120_5_7	51	57
class6_120_5_8	52	58
class6_120_5_9	50	56
class6_250_5_0	101	116
class6_250_5_1	103	116
class6_250_5_2	107	115
class6_250_5_3	104	117
class6_250_5_4	105	118
class6_250_5_5	104	116
class6_250_5_6	102	116
class6_250_5_7	105	118
class6_250_5_8	102	115
class6_250_5_9	103	118
class6_500_5_0	206	228
class6_500_5_1	205	229
class6_500_5_2	205	229
class6_500_5_3	201	225
class6_500_5_4	205	229
class6_500_5_5	205	226
class6_500_5_6	204	228
class6_500_5_7	204	226
class6_500_5_8	206	233
class6_500_5_9	201	224
class6_20_10_0	15	15
class6_20_10_1	13	13
class6_20_10_2	16	16
class6_20_10_3	15	15
class6_20_10_4	13	13
class6_20_10_5	11	11
class6_20_10_6	16	16
class6_20_10_7	15	15
class6_20_10_8	16	16
class6_20_10_9	13	13
class6_40_10_0	25	25
class6_40_10_1	23	23
class6_40_10_2	28	28
class6_40_10_3	28	28
class6_40_10_4	24	24
class6_40_10_5	26	26
class6_40_10_6	26	26
class6_40_10_7	20	21
class6_40_10_8	26	26
class6_40_10_9	27	27
class6_60_10_0	34	34
class6_60_10_1	36	36
